open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1754000100000,116294.01,116294.73,116200.7,116272.28,11.65302,1754000159999,1354683.8552686,2355,5.78756,672687.2447491,0
1754000160000,116272.29,116398.58,116272.28,116384.0,6.97987,1754000219999,812211.1982137,2254,3.90546,454426.6285502,0
1754000220000,116384.0,116384.0,116326.32,116349.3,6.32233,1754000279999,735661.4488495,1323,3.11765,362735.1912959,0
1754000280000,116349.3,116352.0,116265.94,116336.02,12.47377,1754000339999,1450775.7148007,2015,4.29658,499730.384747,0
1754000340000,116336.01,116345.94,116173.86,116173.87,14.54889,1754000399999,1691736.2484412,2041,5.46059,634908.4236529,0
1754000400000,116173.87,116288.0,116143.4,116258.0,39.88659,1754000459999,4634950.9874326,3629,13.16628,1529999.2769474,0
1754000460000,116257.99,116262.0,116220.0,116231.85,13.4875,1754000519999,1567831.1394074,1230,6.68685,777269.9615593,0
1754000520000,116231.85,116252.44,116187.55,116221.75,19.87445,1754000579999,2309981.5813514,2028,2.56058,297594.7113538,0
1754000580000,116221.74,116225.99,116155.47,116164.93,10.00445,1754000639999,1162389.0136185,1728,3.7125,431306.3955881,0
1754000640000,116164.94,116230.5,116143.4,116143.41,10.52344,1754000699999,1222539.2395567,1756,3.88336,451170.4421344,0
1754000700000,116143.4,116220.0,116116.01,116187.91,15.66697,1754000759999,1819785.092001,1939,11.78916,1369295.51398,0
1754000760000,116187.92,116187.92,116129.61,116129.61,6.06142,1754000819999,704077.6232948,1145,2.54796,295955.5925321,0
1754000820000,116129.61,116151.07,116120.0,116132.55,6.85832,1754000879999,796486.923274,1431,2.32137,269576.936487,0
1754000880000,116132.55,116193.15,116132.54,116193.15,2.97809,1754000939999,345928.7239238,1165,1.73207,201205.2502803,0
1754000940000,116193.15,116290.32,116180.0,116290.31,12.53392,1754000999999,1456834.4866237,1910,9.42894,1096001.1039528,0
1754001000000,116290.32,116297.24,116210.0,116238.28,11.3246,1754001059999,1316438.3873275,1841,4.29981,499794.4072126,0
1754001060000,116238.29,116238.29,116224.38,116230.64,5.8281,1754001119999,677391.2783853,604,3.21177,373294.2961342,0
1754001120000,116230.64,116267.44,116230.63,116264.36,10.66121,1754001179999,1239444.5261165,1775,3.17416,369004.5608053,0
1754001180000,116264.36,116264.36,116264.35,116264.36,4.08649,1754001239999,475113.1125543,313,0.89228,103740.3631408,0
1754001240000,116264.36,116270.41,116233.55,116233.55,7.68549,1754001299999,893522.0416595,772,1.05963,123191.1200988,0
1754001300000,116233.56,116233.56,116138.43,116173.99,22.04721,1754001359999,2561549.3613357,1757,6.91516,803234.7485595,0
1754001360000,116174.0,116186.68,116138.44,116180.0,12.45774,1754001419999,1447104.3293534,1232,7.79203,905110.6885078,0
1754001420000,116180.0,116192.49,116154.51,116180.0,7.9824,1754001479999,927370.4945012,1106,2.86698,333057.5980901,0
1754001480000,116179.99,116180.0,116138.44,116138.44,8.45321,1754001539999,981946.5130118,855,1.84857,214740.4970733,0
1754001540000,116138.45,116138.45,116116.02,116122.0,3.97599,1754001599999,461701.316737,521,1.9576,227315.7034441,0
