open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1753995600000,3735.03,3735.72,3732.57,3735.72,130.5733,1753995659999,487551.137302,1716,54.1673,202258.089206,0
1753995660000,3735.72,3738.5,3735.72,3738.18,49.5385,1753995719999,185143.928613,980,29.2617,109365.792613,0
1753995720000,3738.18,3739.0,3738.0,3738.98,46.276,1753995779999,173003.91001,691,35.2768,131884.148804,0
1753995780000,3738.97,3738.97,3736.46,3737.15,106.2016,1753995839999,396952.270161,1444,40.8058,152516.766855,0
1753995840000,3737.15,3745.45,3737.15,3745.17,733.5551,1753995899999,2745032.502146,2873,563.3286,2107875.794926,0
1753995900000,3745.18,3755.15,3745.18,3752.75,887.6223,1753995959999,3329250.466385,5723,583.0857,2186872.610135,0
1753995960000,3752.74,3752.74,3742.6,3742.6,406.7551,1753996019999,1524746.405654,2706,227.7711,853800.426236,0
1753996020000,3742.6,3744.98,3739.78,3744.63,486.7447,1753996079999,1821080.300268,2902,127.9747,478880.510238,0
1753996080000,3744.64,3745.0,3742.08,3742.08,160.501,1753996139999,600839.982598,1543,49.0774,183710.548798,0
1753996140000,3742.08,3742.21,3739.58,3740.65,106.4122,1753996199999,398057.547389,1268,39.2401,146791.663052,0
1753996200000,3740.66,3741.49,3739.12,3741.49,256.8174,1753996259999,960619.625389,1147,210.8884,788829.900759,0
1753996260000,3741.49,3745.41,3741.26,3741.5,244.6289,1753996319999,915713.869057,1269,179.4209,671600.744213,0
1753996320000,3741.5,3744.25,3740.78,3740.78,266.6529,1753996379999,998024.863589,964,164.4012,615291.519189,0
1753996380000,3740.78,3742.28,3740.58,3741.16,127.1675,1753996439999,475829.511709,640,100.4526,375870.246341,0
1753996440000,3741.17,3741.17,3738.62,3738.62,262.759,1753996499999,982730.192709,548,14.4435,54022.604474,0
1753996500000,3738.62,3739.96,3738.24,3739.45,144.1803,1753996559999,539088.02508,1076,107.8591,403283.143765,0
1753996560000,3739.45,3741.9,3739.18,3741.81,319.2841,1753996619999,1194163.374062,1074,80.9244,302719.125536,0
1753996620000,3741.82,3743.86,3740.84,3740.84,111.582,1753996679999,417576.322279,1184,55.9643,209433.443029,0
1753996680000,3740.84,3742.96,3739.5,3742.96,179.0964,1753996739999,670013.739166,1155,120.8674,452215.455602,0
1753996740000,3742.95,3743.78,3741.81,3742.2,134.1381,1753996799999,502051.58233,1208,86.4039,323400.362072,0
1753996800000,3742.21,3743.78,3742.21,3742.66,31.3667,1753996859999,117401.680455,729,14.7258,55116.198979,0
1753996860000,3742.65,3745.45,3742.53,3744.61,104.0745,1753996919999,389646.107658,1059,66.8573,250301.125183,0
1753996920000,3744.61,3744.61,3743.0,3743.13,113.7295,1753996979999,425763.321936,1069,78.1856,292695.717764,0
1753996980000,3743.13,3743.72,3742.5,3743.32,145.9603,1753997039999,546345.322743,874,65.3784,244722.017412,0
1753997040000,3743.32,3744.05,3741.16,3742.31,143.4342,1753997099999,536765.167931,1178,82.2486,307794.657026,0
1753997100000,3742.31,3742.84,3741.63,3741.63,103.2789,1753997159999,386495.713747,641,54.9099,205489.185602,0
1753997160000,3741.63,3744.44,3740.92,3744.44,1053.7276,1753997219999,3942685.663764,2290,447.0994,1672972.96232,0
1753997220000,3744.45,3746.0,3742.62,3745.0,671.6088,1753997279999,2514666.325074,2296,275.7523,1032538.305831,0
